Step_Index,Voltage,Test_Time,SoC,discharge_new
1,3.9,5548.0,0.8074629317094106,1.5137229722222223
1,3.95,5789.0,0.8336834341463369,1.5637619722222222
1,4.03,6092.0,0.8599248093028169,1.6138408055555555
1,4.16,6394.0,0.8861540887619823,1.6638965555555556
1,4.2,6574.0,0.9124021740465752,1.7139881944444446
1,4.0,7347.0,0.9495260524435668,1.7848351111111111
1,4.01,7527.0,0.9690964249194304,1.822183055555556
1,4.02,7707.0,0.9811721228498989,1.8452282222222225
1,4.03,7887.0,0.989282891956341,1.86070675
1,4.03,8067.0,0.9950321617459352,1.8716786111111112
1,4.03,8247.0,0.9992004176407028,1.8796332777777776
2,3.97,139.0,0.9919005697000656,1.865737805555556
2,3.94,319.0,0.9814113440115876,1.84572025
2,3.92,499.0,0.9709225549908826,1.825703527777778
2,3.9,679.0,0.960441684212463,1.8057019166666668
2,3.89,859.0,0.949953899527636,1.785687111111111
2,3.87,1039.0,0.9394706270764644,1.7656809166666665
2,3.86,1219.0,0.928977384044474,1.7456556944444444
2,3.85,1399.0,0.9184845049022944,1.7256311666666666
2,3.84,1579.0,0.9079940856552366,1.7056113333333331
2,3.82,1759.0,0.8975072616395106,1.685598361111111
2,3.81,1939.0,0.8870177593947761,1.6655802777777775
2,3.8,2119.0,0.8765288102625544,1.64556325
2,3.79,2299.0,0.8660411274668746,1.625548638888889
2,3.78,2479.0,0.8555549002304383,1.6055368055555554
2,3.77,2659.0,0.845062996312952,1.5855141388888887
2,3.76,2839.0,0.8345737997356588,1.565496638888889
2,3.74,3019.0,0.8240888679469494,1.5454872777777775
2,3.73,3199.0,0.8136065124981012,1.5254828333333332
2,3.72,3379.0,0.80311571480564,1.5054622777777775
2,3.71,3559.0,0.792630462793897,1.4854523055555555
